t,gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
34,46,True,False,11,4,"['1', '2', '1', '2', '1']","[[23, 'src'], [24, None], [25, None], [26, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [60, 'vnf1'], [61, None], [62, 'dst']]","[[23, 'src'], [24, None], [25, None], [26, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [60, 'vnf1'], [61, None], [62, 'dst']]",0,231.37958060270398,5,1,13,250.37958060270398
34,47,True,False,1,3,"['1', '1', '2', '1', '2']","[[29, 'src'], [28, None], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [50, None], [51, 'dst']]","[[29, 'src'], [28, None], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, 'vnf2'], [38, None], [27, 'vnf1'], [38, None], [49, 'vnf2'], [50, None], [51, 'dst']]",0,204.8976747800456,5,2,10,221.8976747800456
34,48,True,False,0,14,"['1', '2', '2', '2', '2']","[[7, 'src'], [62, 'vnf1'], [51, None], [50, None], [49, None], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]","[[7, 'src'], [62, 'vnf1'], [51, None], [50, None], [49, None], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]",0,114.1066669990724,5,0,9,128.1066669990724
34,49,True,False,7,8,"['1', '1', '1', '1', '1']","[[33, 'src'], [43, None], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [44, 'dst']]","[[33, 'src'], [43, None], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [44, 'dst']]",0,55.0638115148445,5,1,3,64.0638115148445
34,50,True,False,12,3,"['1', '1', '2', '2', '1']","[[34, 'src'], [35, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [2, None], [1, None], [0, 'vnf2'], [0, 'vnf2'], [10, None], [65, None], [54, ('dst', 'vnf1')]]","[[34, 'src'], [35, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [2, None], [1, None], [0, 'vnf2'], [0, 'vnf2'], [10, None], [65, None], [54, ('dst', 'vnf1')]]",0,108.20958682460451,4,2,9,123.20958682460451
34,51,True,False,8,14,"['1', '1', '2', '1', '2']","[[44, 'src'], [45, None], [46, None], [47, None], [48, None], [49, None], [60, 'vnf1'], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]","[[44, 'src'], [45, None], [46, None], [47, None], [48, None], [49, None], [60, 'vnf1'], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]",0,207.0504857611432,5,3,14,229.0504857611432
34,52,True,False,8,9,"['1', '1', '2', '1', '2']","[[44, 'src'], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [43, None], [32, 'vnf2'], [21, None], [10, None], [0, None], [55, 'dst']]","[[44, 'src'], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [43, None], [32, 'vnf2'], [21, None], [10, None], [0, None], [55, 'dst']]",0,157.69880410110977,5,5,9,176.69880410110977
34,53,True,False,12,3,"['2', '2', '1', '2', '2']","[[34, 'src'], [23, None], [22, None], [32, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [32, None], [21, None], [10, None], [0, 'vnf2'], [10, None], [65, None], [54, None], [53, None], [52, None], [51, 'dst']]","[[34, 'src'], [23, None], [22, None], [32, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [32, None], [21, None], [10, None], [0, 'vnf2'], [10, None], [65, None], [54, None], [53, None], [52, None], [51, 'dst']]",0,245.77858136059393,5,1,16,267.77858136059393
34,54,True,False,1,8,"['1', '2', '1', '1', '1']","[[29, 'src'], [30, None], [31, None], [32, None], [43, None], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [44, 'dst']]","[[29, 'src'], [30, None], [31, None], [32, None], [43, None], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [44, 'dst']]",0,108.03558719127538,5,3,8,124.03558719127538
34,55,True,False,6,4,"['2', '1', '1', '1', '1']","[[22, 'src'], [32, None], [43, 'vnf2'], [54, 'vnf1'], [44, None], [45, None], [46, None], [57, 'vnf1'], [58, None], [59, None], [60, None], [61, None], [62, 'vnf1'], [62, ('dst', 'vnf1')]]","[[22, 'src'], [32, None], [43, 'vnf2'], [54, 'vnf1'], [44, None], [45, None], [46, None], [57, 'vnf1'], [58, None], [59, None], [60, None], [61, None], [62, 'vnf1'], [62, ('dst', 'vnf1')]]",0,174.3411660955774,5,1,12,192.3411660955774
