gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
111,True,False,6,14,"['2', '2', '2', '2', '2']","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [12, None], [1, None], [56, 'dst']]","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [12, None], [1, None], [56, 'dst']]",0,66.92281782674496,5,0,4,75.92281782674496
112,True,False,12,3,"['2', '1', '2', '2', '2']","[[34, 'src'], [23, None], [12, None], [1, None], [2, None], [3, 'vnf2'], [4, None], [5, None], [60, 'vnf1'], [49, 'vnf2'], [49, 'vnf2'], [49, 'vnf2'], [50, None], [51, 'dst']]","[[34, 'src'], [23, None], [12, None], [1, None], [2, None], [3, 'vnf2'], [4, None], [5, None], [60, 'vnf1'], [49, 'vnf2'], [49, 'vnf2'], [49, 'vnf2'], [50, None], [51, 'dst']]",0,170.8723140415087,5,1,11,187.8723140415087
113,True,False,3,4,"['1', '2', '1', '2', '2']","[[51, 'src'], [62, None], [7, 'vnf1'], [6, None], [5, None], [4, None], [3, 'vnf2'], [2, None], [57, 'vnf1'], [2, None], [3, 'vnf2'], [3, 'vnf2'], [4, None], [5, None], [6, None], [7, None], [62, 'dst']]","[[51, 'src'], [62, None], [7, 'vnf1'], [6, None], [5, None], [4, None], [3, 'vnf2'], [2, None], [57, 'vnf1'], [2, None], [3, 'vnf2'], [3, 'vnf2'], [4, None], [5, None], [6, None], [7, None], [62, 'dst']]",0,167.2553366896566,5,1,15,188.2553366896566
114,True,False,3,14,"['1', '2', '1', '1', '1']","[[54, ('src', 'vnf1')], [44, None], [55, None], [0, 'vnf2'], [1, None], [2, None], [57, 'vnf1'], [57, 'vnf1'], [57, ('dst', 'vnf1')]]","[[54, ('src', 'vnf1')], [44, None], [55, None], [0, 'vnf2'], [1, None], [2, None], [57, 'vnf1'], [57, 'vnf1'], [57, ('dst', 'vnf1')]]",0,104.02119318893178,5,2,6,117.02119318893178
115,True,False,13,14,"['2', '2', '1', '1', '1']","[[48, ('src', 'vnf2')], [48, 'vnf2'], [47, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [57, ('dst', 'vnf1')]]","[[48, ('src', 'vnf2')], [48, 'vnf2'], [47, None], [46, None], [57, 'vnf1'], [57, 'vnf1'], [57, ('dst', 'vnf1')]]",0,15.098177467980046,5,0,3,23.098177467980044
116,True,False,3,14,"['2', '1', '2', '1', '2']","[[51, 'src'], [50, None], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]","[[51, 'src'], [50, None], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]",0,182.47012880380362,5,4,11,202.47012880380362
117,True,False,1,2,"['1', '2', '2', '2', '2']","[[29, 'src'], [18, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [43, ('dst', 'vnf2')]]","[[29, 'src'], [18, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [43, ('dst', 'vnf2')]]",0,90.48312605076347,4,1,8,103.48312605076347
118,True,False,0,6,"['1', '2', '2', '1', '2']","[[7, ('src', 'vnf1')], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [22, None], [32, 'vnf2'], [22, 'dst']]","[[7, ('src', 'vnf1')], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [22, None], [32, 'vnf2'], [22, 'dst']]",0,179.73024835795388,5,1,10,195.73024835795388
119,True,False,5,3,"['1', '2', '2', '1', '2']","[[0, 'src'], [1, None], [2, None], [57, 'vnf1'], [2, None], [3, 'vnf2'], [58, None], [47, None], [48, None], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [50, None], [51, 'dst']]","[[0, 'src'], [1, None], [2, None], [57, 'vnf1'], [2, None], [3, 'vnf2'], [58, None], [47, None], [48, None], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [50, None], [51, 'dst']]",0,150.768842929485,5,1,13,169.768842929485
120,True,False,0,2,"['2', '2', '1', '1', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [62, 'vnf1'], [51, None], [40, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [62, 'vnf1'], [51, None], [40, 'dst']]",0,116.8066963068804,5,0,11,132.80669630688038
121,True,False,1,14,"['2', '1', '2', '2', '2']","[[32, ('src', 'vnf2')], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[32, ('src', 'vnf2')], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]",0,94.67334479019347,5,0,5,104.67334479019347
122,True,False,3,9,"['2', '2', '2', '1', '1']","[[51, 'src'], [52, None], [63, None], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, None], [35, None], [46, None], [57, 'vnf1'], [56, None], [55, 'dst']]","[[51, 'src'], [52, None], [63, None], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, None], [35, None], [46, None], [57, 'vnf1'], [56, None], [55, 'dst']]",0,190.65461661333777,5,1,15,211.65461661333777
