gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
79,True,False,7,3,"['2', '2', '2', '2', '2']","[[33, 'src'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, 'dst']]","[[33, 'src'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, 'dst']]",5,53.93894139574648,5,2,5,65.93894139574648
80,True,False,14,11,"['1', '2', '2', '2', '2']","[[57, ('src', 'vnf1')], [2, None], [1, None], [12, None], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [23, ('dst', 'vnf2')]]","[[57, ('src', 'vnf1')], [2, None], [1, None], [12, None], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [23, ('dst', 'vnf2')]]",4,48.520139262034796,5,0,4,57.520139262034796
81,True,False,13,4,"['2', '2', '2', '2', '2']","[[48, ('src', 'vnf2')], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [49, None], [50, None], [51, None], [62, 'dst']]","[[48, ('src', 'vnf2')], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [49, None], [50, None], [51, None], [62, 'dst']]",4,64.0650841191545,5,0,4,73.0650841191545
82,True,False,3,14,"['2', '1', '1', '1', '2']","[[51, 'src'], [40, None], [41, None], [42, None], [43, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[51, 'src'], [40, None], [41, None], [42, None], [43, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [45, None], [56, 'dst']]",8,105.10539439476238,5,40,8,158.10539439476238
83,True,False,6,8,"['1', '1', '1', '1', '2']","[[27, ('src', 'vnf1')], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, ('dst', 'vnf2')]]","[[27, ('src', 'vnf1')], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [38, None], [49, ('dst', 'vnf2')]]",2,43.11054441775301,4,0,2,49.11054441775301
84,True,False,11,4,"['1', '2', '2', '1', '2']","[[23, 'src'], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [62, 'dst']]","[[23, 'src'], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [62, 'dst']]",10,145.68209338942694,5,30,10,190.68209338942694
85,True,False,9,1,"['1', '1', '1', '1', '1']","[[60, ('src', 'vnf1')], [5, None], [6, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [18, None], [29, 'dst']]","[[60, ('src', 'vnf1')], [5, None], [6, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [18, None], [29, 'dst']]",5,77.19592000304466,5,0,5,87.19592000304466
86,True,False,9,6,"['2', '1', '1', '1', '1']","[[55, 'src'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [22, 'dst']]","[[55, 'src'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [22, 'dst']]",5,119.26584223809925,5,45,5,174.26584223809925
87,True,False,14,10,"['1', '1', '2', '1', '1']","[[57, ('src', 'vnf1')], [57, 'vnf1'], [2, None], [3, 'vnf2'], [2, None], [57, 'vnf1'], [57, 'vnf1'], [2, None], [1, 'dst']]","[[57, ('src', 'vnf1')], [57, 'vnf1'], [2, None], [3, 'vnf2'], [2, None], [57, 'vnf1'], [57, 'vnf1'], [2, None], [1, 'dst']]",6,29.761771964062,5,0,6,40.761771964062
88,True,False,11,9,"['1', '2', '2', '1', '2']","[[23, 'src'], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [22, None], [11, None], [0, 'vnf2'], [55, 'dst']]","[[23, 'src'], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [22, None], [11, None], [0, 'vnf2'], [55, 'dst']]",8,178.2270122687724,5,33,8,224.2270122687724
